X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,catFFMC,catDMC,catDC,catISI,newArea,cat_newArea,dewpoint,newrain
2,2,sep,fri,92.4,117.9,668,12.2,23,37,4.5,0,0,extreme,extreme,extreme,high,0,0,11,no
2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,5.4,0,0,extreme,extreme,extreme,high,0,0,6.6,no
2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,0,extreme,extreme,extreme,high,0,0,6.6,no
4,5,mar,fri,91.7,33.3,77.5,9,17.2,26,4.5,0,0,extreme,high,low,low,0,0,3.2,no
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0,0,extreme,extreme,low,high,0,0,1.8,no
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0,0,extreme,extreme,extreme,high,0,0,5.7,no
5,4,mar,fri,91.7,33.3,77.5,9,15.6,25,6.3,0,0,extreme,high,low,low,0,0,0.6,no
5,4,aug,tue,88.8,147.3,614.5,9,17.3,43,4.5,0,0,high,extreme,extreme,low,0,0,6.3,no
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0,0,extreme,extreme,extreme,high,0,0,13.6,no
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0,0,high,low,low,low,0,0,2.7,no
9,9,feb,fri,86.6,13.2,43,5.3,15.7,43,3.1,0,0,high,low,low,low,0,0,4.7,no
1,3,mar,mon,87.6,52.2,103.8,5,8.3,72,3.1,0,0,high,extreme,low,low,0,0,3.3,no
1,2,aug,fri,90.1,108,529.8,12.5,14.7,66,2.7,0,0,extreme,extreme,extreme,high,0,0,8.7,no
1,2,aug,tue,91,121.2,561.6,7,21.6,19,6.7,0,0,extreme,extreme,extreme,low,0,0,5.6,no
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0,0,extreme,extreme,extreme,high,0,0,7.5,no
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0,0,extreme,extreme,extreme,low,0,0,6.9,no
1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0,0,extreme,extreme,extreme,extreme,0,0,9.6,no
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,0,extreme,extreme,extreme,low,0,0,6.6,no
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0,0,extreme,extreme,extreme,low,0,0,9.2,no
1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,0,extreme,extreme,extreme,low,0,0,4.5,no
1,2,sep,thu,92.9,137,706.4,9.2,25.4,27,2.2,0,0,extreme,extreme,extreme,low,0,0,11.4,no
1,2,sep,thu,92.9,137,706.4,9.2,22.4,34,2.2,0,0,extreme,extreme,extreme,low,0,0,9.4,no
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0,0,extreme,extreme,extreme,low,0,0,13.3,no
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0,0,extreme,high,low,low,0,0,2.4,no
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0,extreme,extreme,extreme,low,0,0,6.7,no
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0,0,extreme,high,low,low,0,0,2.4,no
8,6,aug,sun,92.3,85.3,488,14.7,20.8,32,6.3,0,0,extreme,extreme,extreme,high,0,0,7.8,no
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0,0,extreme,extreme,extreme,high,0,0,7.2,no
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0,extreme,extreme,extreme,low,0,0,8.4,no
4,4,sep,sun,89.7,90,704.4,4.8,17.8,64,1.3,0,0,high,extreme,extreme,low,0,0,10.8,no
3,4,feb,sat,83.9,8,30.2,2.6,12.7,48,1.8,0,0,high,low,low,low,0,0,2.7,no
3,4,mar,sat,69,2.4,15.5,0.7,17.4,24,5.4,0,0,low,low,low,low,0,0,2.4,no
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0,extreme,extreme,extreme,high,0,0,9.6,no
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,extreme,extreme,extreme,high,0,0,7.8,no
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,extreme,extreme,extreme,high,0,0,7.8,no
3,4,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0,0,high,extreme,extreme,low,0,0,8.4,no
2,4,aug,tue,94.8,108.3,647.1,17,20.1,40,4,0,0,extreme,extreme,extreme,extreme,0,0,8.1,no
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0,extreme,extreme,extreme,low,0,0,10.1,no
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0,0,high,low,low,low,0,0,1.3,no
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0,0,high,low,low,low,0,0,3.7,no
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0,0,extreme,high,low,low,0,0,4.2,no
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0,0,extreme,extreme,extreme,low,0,0,8.4,no
4,5,sep,sat,92.5,88,698.6,7.1,20.3,45,3.1,0,0,extreme,extreme,extreme,low,0,0,9.3,no
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0,0,high,extreme,extreme,low,0,0,9.4,no
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0,0,high,low,low,low,0,0,2.7,no
3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0,0,extreme,high,low,low,0,0,2.8,no
3,4,sep,sun,89.7,90,704.4,4.8,22.8,39,3.6,0,0,high,extreme,extreme,low,0,0,10.8,no
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0,extreme,extreme,extreme,low,0,0,5.9,no
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0,0,high,low,low,low,0,0,1.8,no
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0,0,high,low,low,low,0,0,1.5,no
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0,0,extreme,high,low,low,0,0,-2.4,no
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0,0,extreme,high,low,low,0,0,1.2,no
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4,0,0,extreme,high,low,low,0,0,-3.4,no
3,4,aug,thu,93,75.3,466.6,7.7,19.6,36,3.1,0,0,extreme,extreme,extreme,low,0,0,7.6,no
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0,extreme,extreme,extreme,high,0,0,5.3,no
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0,0,extreme,extreme,extreme,high,0,0,6.1,no
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0,0,extreme,extreme,extreme,low,0,0,11.5,no
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0,high,extreme,extreme,low,0,0,6.9,no
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0,extreme,extreme,extreme,high,0,0,9.8,no
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0,extreme,extreme,extreme,low,0,0,5.6,no
3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0,0,high,extreme,low,low,0,0,-1,no
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0,0,extreme,extreme,extreme,low,0,0,6.2,no
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0,0,extreme,high,extreme,low,0,0,5.9,no
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0,0,extreme,extreme,extreme,low,0,0,2.4,no
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0,0,low,low,low,low,0,0,3.4,no
4,6,mar,mon,87.2,23.9,64.7,4.1,14,39,3.1,0,0,high,low,low,low,0,0,2,no
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0,high,extreme,low,low,0,0,0.6,no
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0,extreme,extreme,extreme,extreme,0,0,6.6,no
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0,high,low,low,low,0,0,2.9,no
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0,extreme,extreme,extreme,extreme,0,0,8.6,no
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0,extreme,extreme,extreme,low,0,0,9.2,no
3,6,sep,mon,90.9,126.5,686.5,7,15.6,66,3.1,0,0,extreme,extreme,extreme,low,0,0,9.6,no
9,9,jul,tue,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36,high,extreme,extreme,low,0.3074847,0.3074847,7,no
1,4,sep,tue,91,129.5,692.6,7,21.7,38,2.2,0,0.43,extreme,extreme,extreme,low,0.357674444,0.357674444,9.7,no
2,5,sep,mon,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,extreme,extreme,extreme,low,0.385262401,0.385262401,9.9,no
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,extreme,extreme,extreme,high,0.438254931,0.438254931,10.3,no
8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,extreme,extreme,extreme,high,0.476234179,0.476234179,12.2,no
1,2,jul,sat,90,51.3,296.3,8.7,16.6,53,5.4,0,0.71,extreme,extreme,high,low,0.536493371,0.536493371,7.6,no
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,extreme,extreme,extreme,high,0.570979547,0.570979547,10.8,no
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,extreme,extreme,extreme,high,0.641853886,0.641853886,12.4,no
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95,extreme,high,low,low,0.667829373,0.667829373,1.2,no
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,high,extreme,extreme,low,0.672944473,0.672944473,10.2,no
2,2,aug,tue,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,extreme,extreme,extreme,extreme,0.727548607,0.727548607,6.4,no
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,extreme,extreme,extreme,extreme,0.751416089,0.751416089,8.7,no
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,extreme,extreme,extreme,low,0.783901544,0.783901544,11.2,no
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36,extreme,extreme,extreme,low,0.858661619,0.858661619,10.8,no
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43,extreme,extreme,extreme,low,0.887891257,0.887891257,13.6,no
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,extreme,extreme,extreme,high,0.90016135,0.90016135,10.1,no
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,extreme,extreme,extreme,low,0.90016135,0.90016135,15.6,no
7,4,aug,sun,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,extreme,extreme,extreme,extreme,0.940007258,0.940007258,6.4,no
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,extreme,extreme,extreme,low,0.959350221,0.959350221,14.6,no
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63,extreme,extreme,extreme,low,0.966983846,0.966983846,7.4,no
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,extreme,extreme,extreme,low,0.970778917,0.970778917,7.5,no
7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0,1.69,extreme,extreme,extreme,high,0.989541194,0.989541194,6,no
7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75,extreme,high,low,low,1.011600912,1.011600912,2.1,no
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,extreme,extreme,extreme,high,1.064710737,1.064710737,9.3,no
6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94,extreme,extreme,low,low,1.078409581,1.078409581,2.2,no
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,extreme,extreme,extreme,low,1.08180517,1.08180517,9.8,no
8,5,sep,sun,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,high,extreme,extreme,low,1.101940079,1.101940079,11.8,no
6,5,mar,thu,84.9,18.2,55,3,5.3,70,4.5,0,2.14,high,low,low,low,1.1442228,1.1442228,-0.7,no
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,extreme,extreme,extreme,low,1.190887565,1.190887565,6.6,no
6,5,aug,wed,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,extreme,extreme,extreme,extreme,1.255616037,1.255616037,10.4,no
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53,extreme,extreme,low,high,1.261297871,1.261297871,0.6,no
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55,extreme,extreme,extreme,high,1.266947603,1.266947603,9.7,no
5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,extreme,extreme,extreme,low,1.272565596,1.272565596,8.9,no
8,6,aug,wed,85.6,90.4,609.6,6.6,17.4,50,4,0,2.69,high,extreme,extreme,low,1.305626458,1.305626458,7.4,no
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,extreme,extreme,extreme,high,1.319085611,1.319085611,8.1,no
4,4,sep,mon,90.9,126.5,686.5,7,17.7,39,2.2,0,3.07,extreme,extreme,extreme,low,1.403642999,1.403642999,5.7,no
1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5,extreme,extreme,extreme,low,1.504077397,1.504077397,5.2,no
1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53,extreme,extreme,extreme,low,1.710187816,1.710187816,8.3,no
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0,4.61,high,low,low,low,1.72455072,1.72455072,-3.2,no
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69,extreme,extreme,extreme,low,1.738710248,1.738710248,8.2,no
2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88,extreme,extreme,extreme,low,1.771556762,1.771556762,7.3,no
8,6,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0,5.23,high,extreme,extreme,low,1.829376333,1.829376333,8.4,no
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,extreme,extreme,extreme,low,1.845300236,1.845300236,10.9,no
8,6,oct,mon,84.9,32.8,664.2,3,19.1,32,4,0,5.44,high,high,extreme,low,1.86252854,1.86252854,6.1,no
5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38,high,low,low,low,1.998773639,1.998773639,3.4,no
7,4,oct,mon,91.7,48.5,696.1,11.1,16.8,45,4.5,0,6.83,extreme,extreme,extreme,high,2.05796251,2.05796251,5.8,no
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,extreme,extreme,extreme,high,2.074429,2.074429,7.8,no
2,5,sep,tue,91,129.5,692.6,7,17.6,46,3.1,0,7.04,extreme,extreme,extreme,low,2.084429083,2.084429083,7.6,no
8,6,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19,high,extreme,low,low,2.102913898,2.102913898,-0.5,no
1,5,sep,mon,90.9,126.5,686.5,7,21,42,2.2,0,7.3,extreme,extreme,extreme,low,2.116255515,2.116255515,10,no
6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0,7.4,extreme,extreme,low,low,2.128231706,2.128231706,2.3,no
7,4,mar,sun,90.7,44,92.4,5.5,11.5,60,4,0,8.24,extreme,extreme,low,low,2.223541886,2.223541886,3.5,no
6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4,0,8.31,extreme,extreme,low,high,2.231089091,2.231089091,-1.3,no
2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68,extreme,extreme,extreme,high,2.270061901,2.270061901,10.2,no
2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71,extreme,extreme,extreme,extreme,2.273156282,2.273156282,9.6,no
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4,0,9.41,extreme,extreme,extreme,low,2.342766883,2.342766883,9.3,no
2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,10.01,extreme,extreme,extreme,extreme,2.398803951,2.398803951,9.6,no
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02,extreme,extreme,extreme,high,2.399711804,2.399711804,11.5,no
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0,10.93,high,low,low,low,2.479056236,2.479056236,-3.2,no
4,5,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,11.06,extreme,extreme,extreme,low,2.489894191,2.489894191,4.5,no
3,4,sep,tue,91,129.5,692.6,7,13.9,59,6.3,0,11.24,extreme,extreme,extreme,low,2.504709277,2.504709277,5.9,no
2,4,sep,mon,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32,low,extreme,extreme,low,2.511223958,2.511223958,10.6,no
1,5,sep,tue,91,129.5,692.6,7,21.6,33,2.2,0,11.53,extreme,extreme,extreme,low,2.528125769,2.528125769,8.6,no
6,5,mar,sun,90.1,37.6,83.7,7.2,12.4,54,3.6,0,12.1,extreme,high,low,low,2.57261223,2.57261223,3.4,no
7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0,13.05,high,low,low,low,2.642622396,2.642622396,2.8,no
8,6,oct,wed,91.4,37.9,673.8,5.2,20.2,37,2.7,0,13.7,extreme,high,extreme,low,2.687847494,2.687847494,8.2,no
5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4,0,13.99,extreme,extreme,low,low,2.707383312,2.707383312,8.1,no
4,5,sep,thu,92.9,137,706.4,9.2,22.1,34,1.8,0,14.57,extreme,extreme,extreme,low,2.745345986,2.745345986,9.1,no
2,2,aug,sat,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,extreme,extreme,extreme,extreme,2.800325477,2.800325477,9.9,no
7,5,sep,tue,91,129.5,692.6,7,20.7,37,2.2,0,17.2,extreme,extreme,extreme,low,2.901421594,2.901421594,8.7,no
6,5,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,extreme,extreme,extreme,high,3.007166651,3.007166651,6.6,no
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,extreme,extreme,extreme,extreme,3.194992884,3.194992884,9.2,no
4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23,extreme,extreme,extreme,low,3.228033763,3.228033763,3.4,no
7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0,26,extreme,extreme,extreme,extreme,3.295836866,3.295836866,5.1,no
