BEACON,DAS,CRITERIA,ROPEN,RBALNO,LST_R_OPEN,RBAL,RLIMIT,TOPEN,TBALNO,MOF,RBAL_LIMIT,EQLIMIT,EQBAL,EQHIGHBAL,EQCURBAL,BCLIMIT,BCBAL,IHIGHBAL,ICURBAL,UNSECLIMIT,UNSECBAL,MTHIGHBAL,MTCURBAL,BCOPEN,YEARS_RES,CHILDREN,EST_INC,OWN_HOME,HOME_VALUE,HOME_INC,HOME_ED,PRCNT_WHIT,PRCNT_PROF,DOB_MONTH,DOB_YEAR,AGE_INFERR,SEX,MARRIED,BUYER
784,-47,1,04,02,56,000494,021748,02,000494,404,00,,,,,010000,000281,,,,,,,,12,0,62499.50,0,087,036,120,86,35,,,42,M,U,1 
735,251,1,01,01,21,001033,002200,02,001033,217,00,,,,,002200,001033,,,,,055650,054584,,02,0,62499.50,0,070,030,120,74,24,,42,57,M,M,1 
722,177,1,03,03,07,004316,015200,05,004379,187,01,,,,,015200,004316,,,,,082200,081176,,06,0,62499.50,0,097,040,120,86,31,,47,42,M,M,1 
765,402,1,07,02,02,001277,038100,06,012893,249,00,,,,,025100,000264,019238,011576,001000,000000,035000,020076,,02,0,62499.50,0,081,042,120,88,33,,44,57,M,M,1 
777,142,1,04,02,16,000820,018000,05,001305,169,00,,,,,011500,000688,,,,,110000,106000,,03,1,87499.50,0,117,050,140,96,44,,56,42,M,U,1 
780,-14,1,05,04,47,001346,031076,04,001346,253,00,,,,,027900,001336,,,,,,,,15,0,87499.50,0,083,042,120,95,35,,,42,M,U,1 
775,181,1,02,00,06,000000,003800,02,005456,207,00,,,,,,,016926,005456,,,079510,074279,,00,0,62499.50,0,086,034,130,86,47,,45,42,M,U,1 
778,42,1,05,04,22,000379,020500,04,000379,172,00,,,,,005000,000125,,,008000,000141,,,,06,0,87499.50,0,090,049,120,92,31,,,42,M,M,1 
743,161,1,09,06,24,004196,029092,07,004196,096,04,,,,,015674,001415,,,010300,000643,078317,071986,,05,1,62499.50,0,070,030,120,74,24,,42,57,M,M,1 
729,245,1,11,08,02,004040,048726,11,039590,291,00,,,,,028832,002482,,,007390,001428,030000,021040,,14,1,62499.50,0,083,042,120,95,35,,44,57,M,M,1 
713,410,1,02,01,17,003038,006500,02,024788,236,01,,,024941,021750,006500,003038,024941,021750,,,,,,15,1,42999.50,0,088,031,120,75,35,,,57,M,U,1 
768,107,1,03,02,11,000300,019500,03,000300,229,00,,,,,014500,000300,,,,,109000,101000,,07,1,87499.50,0,105,045,160,84,56,,47,42,M,M,1 
785,122,1,01,00,65,000000,000052,01,000000,101,00,,,,,,,,,,,079500,074143,,06,0,62499.50,0,105,045,160,84,56,,49,42,M,M,1 
782,-74,1,02,01,56,000405,011150,01,000405,354,00,,,,,008000,000000,,,,,,,,01,0,62499.50,0,105,045,160,84,56,,35,57,M,U,1 
753,334,1,03,02,11,000171,006500,02,000171,038,00,,,,,,,,,006000,000171,,,,00,0,62499.50,0,105,045,160,84,56,,,42,M,U,1 
719,229,1,04,03,15,013212,028894,05,029926,283,02,,,,,021500,009208,017168,016714,007394,004004,092000,090559,,04,1,87499.50,0,098,049,140,95,48,,,42,M,M,1 
766,345,1,03,01,06,000025,010000,02,000025,079,00,,,,,001500,000000,,,,,069700,062133,,03,0,42999.50,0,108,037,140,96,49,,68,35,M,U,1 
745,296,1,03,01,08,000529,013500,06,007182,199,00,,,,,007500,000000,020812,006621,006000,000529,125000,123000,,04,1,62499.50,0,089,048,140,98,42,,57,42,M,M,1 
774,110,1,03,01,04,000130,007920,01,000130,048,00,,,,,,,,,007000,000130,,,,14,0,42999.50,0,099,048,120,95,33,,,42,M,M,1 
755,155,1,05,03,51,002841,015252,05,002841,229,01,,,,,011000,002813,,,,,058000,049960,,13,0,87499.50,0,105,066,160,98,59,,45,42,M,M,1 
736,138,1,04,03,08,002423,009507,04,013433,298,01,,,,,007407,002380,013211,011010,,,,,,05,1,62499.50,0,108,037,140,96,49,,48,42,M,M,1 
707,250,1,07,05,10,011754,019049,06,013556,102,04,,,,,012900,006979,010052,001802,003973,003862,,,,02,0,62499.50,0,071,036,150,75,45,,63,35,M,U,1 
728,272,1,03,03,20,003833,016350,03,003833,058,01,,,,,002600,000649,,,013750,003184,,,,01,0,42999.50,0,064,036,140,79,45,,69,35,F,U,1 
712,244,1,03,02,18,011880,023283,03,011880,192,02,,,,,012283,011880,,,,,095000,046142,,09,0,87499.50,0,208,084,160,96,41,,43,57,M,M,1 
748,192,1,02,01,13,011895,014200,02,011895,249,01,,,,,,,,,013400,011895,035900,021636,,15,0,62499.50,0,160,045,150,84,44,,39,57,M,M,1 
724,382,1,04,02,04,000830,009901,02,000830,058,00,,,,,007101,000075,,,002200,000755,,,,11,0,87499.50,0,085,049,160,89,55,,,42,M,M,1 
732,129,1,06,01,06,000500,014460,04,004636,240,01,,,,,010000,000000,018399,004136,,,194000,189000,,03,0,87499.50,0,224,086,160,97,59,,51,42,M,M,1 
768,366,1,02,01,16,000358,006903,02,000358,046,00,,,,,006903,000358,,,,,118000,112000,,02,0,62499.50,0,211,082,160,96,56,,41,57,M,U,1 
781,180,1,04,01,08,000704,011853,01,000704,124,00,,,,,007500,000000,,,004315,000704,,,,01,0,42999.50,0,070,028,140,78,39,,62,35,F,U,1 
741,173,1,04,03,08,000536,009613,04,005336,119,00,,,,,009000,000517,,,,,,,,01,0,62499.50,0,071,036,150,75,45,,63,35,F,U,1 
715,381,1,07,04,06,005039,022848,09,008374,197,00,,,,,005534,000993,007085,002952,008600,004041,202000,196000,,02,1,87499.50,0,160,045,150,84,44,,55,42,M,M,1 
713,392,1,05,04,08,007011,014457,06,007029,141,01,,,,,009000,006317,015403,000000,,,121000,119000,,05,0,87499.50,0,160,045,150,84,44,,,57,M,M,1 
747,391,1,03,01,06,000615,023000,03,010527,091,00,,,,,023000,000615,011958,009912,,,059800,057095,,04,0,42999.50,0,086,037,140,84,38,,38,57,M,U,1 
774,36,1,01,00,03,000000,003600,00,000000,146,00,,,,,,,,,,,,,,02,0,42999.50,0,080,031,140,66,33,,56,42,M,M,1 
700,263,1,05,05,04,017742,023222,06,024865,122,04,,,,,016385,014178,007650,007123,006837,003564,,,,02,0,87499.50,0,095,035,130,83,36,,52,42,F,U,1 
770,-2,1,04,01,36,001750,012934,06,003609,264,00,,,075600,074352,009044,001750,003000,001778,,,065812,063441,,01,0,62499.50,0,000,000,000,00,00,,49,42,M,M,1 
701,202,1,06,03,05,005814,017762,04,005814,079,02,,,,,007500,000176,,,002047,002047,068700,065598,,02,0,62499.50,0,086,037,140,84,38,,54,42,U,U,1 
775,102,1,04,03,73,000146,012906,04,000146,095,00,,,,,010600,000103,,,000974,000043,,,,05,1,62499.50,0,080,035,140,53,27,,62,35,F,U,1 
710,429,1,02,01,09,000353,000727,02,000353,023,01,,,,,,,,,000187,000000,045500,044263,,02,0,42999.50,0,063,033,140,60,50,,,42,M,U,1 
719,263,1,02,01,06,000035,000680,02,000090,137,00,,,,,,,,,,,,,,04,0,62499.50,0,087,048,140,86,43,,,42,M,U,1 
726,406,1,06,02,02,006791,036227,03,006791,137,01,,,,,018953,006783,,,017274,000008,068465,067537,,03,0,62499.50,0,093,046,140,87,34,,,42,M,M,1 
722,185,1,02,01,14,006871,009496,03,020930,158,01,,,,,009496,006871,020085,014059,,,065500,061069,,11,0,87499.50,0,095,056,140,85,43,,,42,M,U,1 
778,-44,1,04,02,25,005098,023673,03,005098,213,01,,,,,014500,000228,,,009118,004870,034600,024352,,14,0,87499.50,0,085,034,120,75,23,,42,57,M,M,1 
703,293,1,06,06,26,009633,011884,06,009633,197,06,,,,,007684,005909,008011,000000,002500,002627,,,,08,0,42999.50,0,000,000,000,00,00,,36,57,M,U,1 
737,354,1,02,02,04,001066,005725,03,001066,349,01,,,,,000725,000689,,,005000,000377,,,,05,0,42999.50,0,082,042,140,79,35,,,42,M,U,1 
770,98,1,09,04,12,003504,023564,05,008374,291,00,,,,,010422,003256,,,010000,000000,,,,13,0,87499.50,0,093,046,140,87,34,,41,57,M,M,1 
717,421,1,13,09,06,001788,035894,10,001788,063,00,,,,,019488,001353,,,007000,000127,061242,056199,,01,0,62499.50,0,087,048,140,86,43,,47,42,M,M,1 
786,49,1,03,03,41,000737,017000,03,000737,186,00,,,,,012000,000335,,,005000,000402,,,,02,1,62499.50,0,171,067,140,98,44,,61,35,M,M,1 
725,291,1,06,04,07,002739,023135,05,002739,150,00,,,,,016499,002739,,,003000,000000,,,,,0,62499.50,0,117,054,140,97,44,,46,42,F,U,1 
766,135,1,05,01,15,001639,026000,02,001639,123,00,,,,,020500,000000,,,005500,001639,160000,157000,,00,0,87499.50,0,117,054,140,97,44,,46,42,M,U,1 
724,254,1,03,02,05,009436,019350,05,106487,220,01,,,,,014350,009350,031096,010120,005000,000086,,,,02,0,42999.50,0,088,039,120,98,25,,54,42,M,U,1 
711,271,1,02,02,12,004551,005513,04,021701,098,02,,,,,,,028643,017150,003403,002964,,,,01,0,42999.50,0,067,023,120,86,18,,64,35,M,M,1 
714,418,1,07,05,13,001638,020259,11,045258,157,00,,,,,009359,000498,055627,043598,005000,000000,141000,139000,,03,0,62499.50,0,090,040,120,96,28,,56,42,M,U,1 
737,483,1,04,02,02,000401,012215,06,023854,278,00,,,,,007215,000224,026550,016479,005000,000177,,,,15,0,62499.50,0,095,045,120,98,31,,46,42,M,M,1 
747,145,1,01,01,67,003713,007500,03,017636,133,00,,,,,007500,003713,,,,,078680,076997,,05,0,87499.50,0,085,045,120,98,30,,62,35,M,M,1 
758,282,1,03,03,04,002001,006996,04,002001,262,01,,,,,003476,000663,,,,,058500,053834,,02,0,87499.50,0,136,063,150,95,42,,48,42,M,M,1 
717,229,1,05,05,99,020446,028241,07,052491,254,04,,,,,008333,007740,,,009700,005465,,,,03,0,42999.50,0,071,033,120,92,17,,50,42,F,U,1 
701,290,1,04,03,07,012898,025299,09,052053,157,02,,,,,006000,000584,036077,025274,019002,012314,,,,08,0,87499.50,0,105,057,150,93,48,,47,42,M,M,1 
729,65,1,07,03,05,006949,022935,08,019955,201,01,,,,,015215,006949,020620,012873,,,055000,052757,,09,0,62499.50,0,090,042,120,95,30,,53,42,M,M,1 
711,424,1,08,05,04,002170,020440,05,002170,128,01,,,,,017000,001397,,,000540,000084,,,,10,0,87499.50,0,105,057,150,93,48,,64,35,M,M,1 
767,170,1,03,01,08,000185,005469,04,003978,095,00,,,,,002500,000185,009000,003767,,,,,,05,0,42999.50,0,105,057,150,93,48,,,42,M,U,1 
738,352,1,05,03,07,015527,026712,05,015749,292,02,,,,,006452,006196,,,018639,009306,071100,063359,,08,0,62499.50,0,105,057,150,93,48,,49,42,M,U,1 
713,378,1,06,04,03,002228,014609,13,026986,120,01,,,,,007500,000736,004350,003394,000501,000118,070116,068929,,05,1,62499.50,0,105,057,150,93,48,,65,35,M,M,1 
772,16,1,02,01,09,000518,014000,02,000518,108,00,,,,,,,,,,,069442,065422,,03,0,62499.50,0,084,038,120,98,27,,30,57,M,U,1 
695,287,1,04,03,25,007630,010000,07,028642,112,03,,,,,009000,007346,027131,021012,001000,000284,075500,070518,,05,0,62499.50,0,084,038,120,98,27,,66,35,M,U,1 
725,18,1,01,01,10,003427,006000,02,003427,250,01,,,,,006000,003427,,,,,036800,034124,,15,0,62499.50,0,071,037,120,99,16,,35,57,M,M,1 
761,133,1,02,01,24,004419,013000,01,004419,110,01,,,,,008000,004419,,,,,,,,00,0,62499.50,0,000,000,000,00,00,,,42,M,U,1 
770,285,1,02,01,23,001081,010000,01,001081,104,00,,,,,010000,001081,,,,,,,,03,1,62499.50,0,090,042,120,95,30,,,42,M,U,1 
768,3,1,01,00,15,000000,005000,01,009156,328,00,,,,,005000,000000,,,,,,,,09,0,62499.50,0,071,033,120,92,17,,31,57,M,U,1 
730,207,1,06,05,07,016201,021326,06,016201,213,04,,,,,017229,012762,,,004000,003429,075809,073131,,01,0,87499.50,0,088,048,120,99,35,,37,57,M,U,1 
767,68,1,02,00,80,000000,011048,01,010076,396,00,,,,,002048,000000,010502,010076,009000,000000,,,,09,0,62499.50,0,071,033,120,92,17,,31,57,M,U,1 
786,-30,1,02,01,12,000016,005800,03,000089,157,00,,,,,002200,000016,,,,,,,,03,1,87499.50,0,085,045,120,98,30,,,42,M,M,1 
741,103,1,02,02,39,000985,013300,04,003690,103,00,,,,,003700,000499,003144,002705,,,065000,058838,,15,1,62499.50,0,059,026,120,98,19,,65,35,M,M,1 
718,260,1,06,06,03,007994,033410,08,019428,188,00,,,,,020800,004075,032296,011434,001000,000473,,,,13,0,62499.50,0,045,027,110,98,11,,42,57,M,U,1 
778,159,1,02,01,05,000156,005700,02,000156,005,00,,,,,005000,000156,,,,,081000,070379,,05,0,42999.50,0,054,022,120,98,09,,52,42,M,U,1 
721,271,1,01,01,07,000511,001788,02,001913,063,00,,,,,001788,000511,004207,001402,,,,,,06,0,42999.50,0,059,026,120,98,19,,70,35,M,M,1 
748,310,1,03,01,03,000224,015638,02,006844,057,00,,,,,008138,000000,011642,006620,007500,000224,,,,01,0,42999.50,0,045,027,110,98,11,,,42,M,U,1 
774,38,1,02,01,60,000051,011700,02,003269,085,00,,,,,011700,000051,005090,003218,,,,,,15,0,42999.50,0,050,024,120,60,16,,35,57,M,M,1 
767,120,1,01,01,86,000398,000474,01,000398,007,01,,,,,,,,,,,,,,04,1,42999.50,0,052,024,120,96,21,,65,35,M,U,1 
754,237,1,02,01,02,002493,010740,03,012468,240,00,,,,,007500,002493,019346,009975,,,056000,052762,,01,0,87499.50,0,078,033,120,95,23,,42,57,M,M,1 
719,418,1,05,03,07,008996,021236,06,024260,136,01,,,,,003400,000000,027423,015264,016540,008996,082650,079328,,02,0,42999.50,0,091,041,120,98,30,,,42,M,M,1 
726,202,1,03,02,14,000748,008500,06,020986,098,00,,,,,,,024887,020133,004900,000748,074500,073798,,00,0,62499.50,0,078,033,120,95,23,,63,35,M,U,1 
729,264,1,01,00,03,000000,000200,01,000000,084,00,,,,,,,016762,015048,,,016762,015048,,06,0,42999.50,0,058,019,110,95,18,,,42,F,U,1 
708,211,1,06,04,02,004458,013960,05,004458,095,02,,,,,009450,003208,,,001500,001238,055000,034545,,06,0,42999.50,0,080,035,120,99,22,,,57,M,U,1 
774,33,1,02,01,36,000897,009200,01,000897,142,00,,,,,009200,000897,,,,,,,,02,0,87499.50,0,078,033,120,95,23,,54,42,M,M,1 
754,223,1,00,00,,,,03,011012,151,00,,,,,,,011959,010962,,,119000,111000,,02,0,62499.50,0,091,041,120,98,30,,60,35,M,M,1 
731,428,1,04,02,18,001370,015532,09,367213,239,00,,,,,003000,000000,059787,038993,008500,000642,,,,01,0,62499.50,0,078,033,120,95,23,,46,42,M,U,1 
712,333,1,04,03,12,010815,011692,04,019126,085,03,,,,,006500,006016,011019,008311,005100,004799,,,,11,0,62499.50,0,078,033,120,95,23,,44,57,M,U,1 
775,152,1,05,01,09,000007,013115,01,000007,073,00,,,,,005000,000007,,,005000,000000,,,,15,0,42999.50,0,078,033,120,95,23,,64,35,M,U,1 
737,76,1,04,04,23,005394,018286,06,030114,130,01,,,,,018286,005394,007483,005758,,,,,,10,0,42999.50,0,055,017,110,87,14,,48,42,M,U,1 
769,117,1,01,00,99,000000,006700,03,009334,177,00,,,,,,,010075,009270,006700,000000,072000,071093,,,1,62499.50,0,000,000,000,00,00,,57,42,M,M,1 
787,110,1,01,00,18,000000,000000,00,000000,096,00,,,,,,,011000,000000,,,,,,06,0,62499.50,0,000,000,000,00,00,,,42,M,U,1 
700,245,1,04,03,38,000529,022836,04,001310,245,00,,,,,021000,000529,001750,000781,,,,,,11,0,62499.50,0,000,000,000,00,00,,,42,M,U,1 
730,271,1,03,03,12,004100,005412,05,005067,112,03,,,,,001186,000825,007066,000967,002426,002198,064600,060249,,03,0,62499.50,0,000,000,000,00,00,,60,35,M,M,1 
717,433,1,08,04,12,005988,023008,07,006010,243,01,,,090900,000000,011313,005134,000542,000000,,,092000,091161,,04,0,62499.50,0,000,000,000,00,00,,52,42,M,M,1 
785,73,1,04,02,90,000521,007873,07,017755,193,00,,,,,003013,000521,028086,017179,,,086500,084262,,07,1,62499.50,0,000,000,000,00,00,,59,35,M,U,1 
752,158,1,05,04,31,001715,016815,08,028032,069,00,,,,,008759,001365,034144,026189,,,086674,084730,,01,0,62499.50,0,000,000,000,00,00,,61,35,M,M,1 
768,-5,1,02,02,15,001419,006587,03,001419,176,01,,,,,006587,001419,,,,,025050,022837,,07,0,42999.50,0,000,000,000,00,00,,,42,F,U,1 
775,-98,1,03,01,10,000925,018500,02,020468,152,00,,,,,013500,000925,030000,019543,005000,000000,,,,03,0,87499.50,0,000,000,000,00,00,,31,57,F,U,1 
778,176,1,02,01,02,000580,010000,02,049001,148,00,,,,,,,,,010000,000580,,,,06,0,42999.50,0,051,026,110,94,14,,58,42,M,M,1 
732,448,1,10,03,06,000632,033348,04,012124,220,01,,,,,021148,000405,027625,011492,007200,000207,,,,15,0,42999.50,0,064,026,120,79,24,,,42,M,M,1 
789,139,1,03,01,16,000274,018140,01,000274,162,00,,,,,,,,,008400,000000,,,,15,1,62499.50,0,073,026,120,85,35,,51,42,M,M,1 
715,166,1,08,06,06,016264,046812,06,016264,112,02,,,,,034100,011347,,,006500,004396,,,,15,0,62499.50,0,073,026,120,85,35,,,42,M,U,1 
785,15,1,02,01,08,000114,005153,01,000114,023,00,,,,,005000,000114,,,,,,,,03,0,42999.50,0,051,026,110,94,14,,,42,U,U,1 
780,117,1,02,01,08,000192,007803,03,026273,156,00,,,,,007500,000192,027706,006565,,,,,,13,1,42999.50,0,074,034,120,93,28,,,42,M,U,1 
720,156,1,02,01,08,004099,013300,04,053536,142,01,,,,,008300,000000,045265,005574,005000,004099,041500,033822,,05,1,42999.50,0,052,024,120,96,21,,58,42,M,U,1 
738,-63,1,03,03,60,005322,011858,04,012398,109,01,,,,,,,008795,007076,009221,005032,,,,04,0,42999.50,0,048,018,110,72,14,,,42,M,U,1 
775,330,1,01,00,14,000000,004000,01,044360,052,00,,,,,,,,,,,,,,02,0,42999.50,0,074,034,120,93,28,,,42,M,U,1 
728,353,1,01,01,80,000385,000500,04,017631,089,01,,,,,000500,000385,013382,010951,,,,,,00,0,42999.50,0,055,019,120,93,16,,69,35,F,U,1 
783,171,1,01,01,35,000057,000082,02,010010,152,01,,,,,,,013602,009953,,,,,,04,1,42999.50,0,054,022,120,74,15,,60,35,M,M,1 
731,354,1,02,01,03,002694,006200,02,002694,133,01,,,,,006200,002694,,,,,066795,065784,,01,1,42999.50,0,082,024,120,86,31,,,42,M,M,1 
749,107,1,06,03,04,001805,026149,05,014896,155,00,,,,,018400,000269,030000,013091,,,,,,11,1,42999.50,0,059,025,120,77,36,,,57,M,M,1 
778,1,1,04,03,05,000148,023326,05,016181,213,00,,,,,017450,000128,036467,016033,005500,000000,,,,15,0,62499.50,0,073,026,120,85,35,,,42,M,U,1 
713,386,1,02,02,06,006607,006500,02,006607,011,02,,,,,003500,003678,,,003000,002929,,,,00,0,62499.50,0,055,019,120,93,16,,,42,M,U,1 
711,268,1,05,05,25,015288,017613,09,040391,149,04,,,,,014813,014101,017154,002799,,,090000,077338,,15,0,62499.50,0,081,038,120,98,46,,41,57,M,M,1 
711,338,1,06,03,06,003702,008047,05,008524,214,02,,,,,002197,001809,006500,004822,000650,000000,069568,068373,,03,0,42999.50,0,065,028,120,87,21,,60,35,M,M,1 
773,130,1,02,02,71,000884,008126,02,000884,159,00,,,,,008126,000884,,,,,,,,07,0,62499.50,0,078,036,120,85,26,,59,35,M,M,1 
762,48,1,03,02,03,004491,017600,05,004829,104,01,,,,,005000,000452,,,007500,000000,121000,120000,,00,1,62499.50,0,078,036,120,85,26,,52,42,M,U,1 
763,139,1,01,01,99,001442,002735,04,036427,147,01,,,,,002735,001442,050978,034985,,,,,,06,0,62499.50,0,057,023,120,84,17,,41,57,M,U,1 
750,234,1,06,03,07,001413,009199,03,001413,204,01,,,,,002992,000985,,,,,,,,08,0,42999.50,0,069,033,120,93,19,,,42,F,U,1 
713,266,1,06,06,12,011224,015006,08,016729,156,05,,,,,009677,007376,008627,005505,002200,001953,,,,15,0,62499.50,0,070,033,120,99,17,,,42,F,U,1 
711,379,1,05,05,07,010519,018301,06,022212,155,04,,,,,009864,005214,014319,011693,008437,005305,,,,02,0,42999.50,0,057,023,120,84,17,,58,42,M,U,1 
771,174,1,00,00,,,,01,004010,086,00,,,,,,,008986,004010,,,,,,04,0,42999.50,0,067,022,120,86,15,,,42,M,U,1 
748,101,1,02,02,20,000763,001262,03,000763,140,01,,,,,000589,000090,,,000673,000673,056000,050238,,04,0,42999.50,0,052,032,120,95,27,,,42,M,M,1 
754,423,1,03,01,13,000063,008081,04,006493,081,01,,,,,,,020235,014214,,,009885,007859,,06,0,62499.50,0,045,030,120,93,26,,,42,F,U,1 
760,57,1,02,01,03,001438,003598,03,001459,146,01,,,,,001438,001438,030000,007607,,,030000,007607,,02,1,42999.50,0,052,032,120,95,27,,36,57,M,M,1 
730,144,1,02,01,13,003600,007630,03,024901,235,00,,,,,007500,003600,007923,004295,000130,000000,,,,02,0,62499.50,0,088,036,120,99,23,,54,42,M,U,1 
718,277,1,01,00,08,000000,000000,00,000000,073,00,,,,,,,,,,,,,,01,0,62499.50,0,082,026,120,91,27,,,42,M,M,1 
